O,61
I,48
E,37
Z,31
N,31
A,31
C,30
T,26
W,25
D,23
R,22
Y,21
M,19
S,19
K,19
Ę,16
P,16
J,15
Ś,10
Ł,9
Ą,9
G,9
B,8
U,8
H,8
Ó,7
L,6
Ć,4
F,1
Ń,1
Ż,1
